2021,FUEL,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,TOTAL
2021,CNGONLY,5975,10898,13502,8413,2211,7045,13808,16161,20759,21774,22667,21814,165027
2021,DIESEL,171491,173080,194893,129013,52823,126357,183783,171735,149899,136982,140484,158957,1789497
2021,DIESEL/HYBRID,8,5,0,4,2,3,2,5,0,1,2,2,34
2021,DUALDIESEL/CNG,0,0,0,5,1,4,1,2,0,0,0,1,14
2021,ELECTRIC(BOV),16336,19296,26827,14457,3395,11403,26523,29215,34705,39088,42552,51288,315085
2021,LNG,0,0,0,0,0,0,0,0,0,0,0,3,3
2021,LPGONLY,1072,887,762,1320,319,473,1325,1405,1495,1269,1662,1400,13389
2021,METHANOL,0,1,0,0,0,0,1,0,0,0,0,0,2
2021,NOTAPPLICABLE,6366,6242,7975,3859,816,2924,4966,5720,5905,6265,4935,6033,62006
2021,PETROL,1413078,1303118,1419152,1038447,483837,1075883,1317514,1156938,1084048,1178806,1610586,1316846,14398253
2021,PETROL/CNG,27569,23753,26247,15444,8871,13753,26206,24736,19079,16826,17275,18964,238723
2021,PETROL/HYBRID,12725,10566,11997,8020,2979,7183,12387,11851,10387,12581,11694,9916,122286
2021,PETROL/LPG,2476,2787,3354,1072,206,610,939,918,860,652,660,597,15131
2021,SOLAR,0,0,0,0,0,0,0,0,0,0,1,0,1
