date,rad,.geo
20190101,"{avg_rad=1.38693412131069, cf_cvg=17.24332668357293}","{""type"":""MultiPoint"",""coordinates"":[]}"
20190201,"{avg_rad=1.2694177428116928, cf_cvg=12.57559690624547}","{""type"":""MultiPoint"",""coordinates"":[]}"
20190301,"{avg_rad=1.1425733277100172, cf_cvg=15.361265446164618}","{""type"":""MultiPoint"",""coordinates"":[]}"
20190401,"{avg_rad=1.087063350465254, cf_cvg=12.514051793070678}","{""type"":""MultiPoint"",""coordinates"":[]}"
20190501,"{avg_rad=1.079385529988381, cf_cvg=10.964355119674641}","{""type"":""MultiPoint"",""coordinates"":[]}"
20190601,"{avg_rad=0.9811569651520792, cf_cvg=6.600652575755119}","{""type"":""MultiPoint"",""coordinates"":[]}"
20190701,"{avg_rad=0.946059221853099, cf_cvg=3.7483268606948243}","{""type"":""MultiPoint"",""coordinates"":[]}"
20190801,"{avg_rad=0.8948810758663543, cf_cvg=3.8797332554054287}","{""type"":""MultiPoint"",""coordinates"":[]}"
20190901,"{avg_rad=0.8667383041793799, cf_cvg=4.21982549737384}","{""type"":""MultiPoint"",""coordinates"":[]}"
20191001,"{avg_rad=1.085933447030994, cf_cvg=8.670225575148093}","{""type"":""MultiPoint"",""coordinates"":[]}"
20191101,"{avg_rad=1.119535782291464, cf_cvg=12.241054265129518}","{""type"":""MultiPoint"",""coordinates"":[]}"
20191201,"{avg_rad=1.26959229423326, cf_cvg=12.016599277022317}","{""type"":""MultiPoint"",""coordinates"":[]}"
20200101,"{avg_rad=1.4043580403626041, cf_cvg=13.818369509840064}","{""type"":""MultiPoint"",""coordinates"":[]}"
20200201,"{avg_rad=1.1497020635757467, cf_cvg=14.290608355602787}","{""type"":""MultiPoint"",""coordinates"":[]}"
20200301,"{avg_rad=1.0762297154987857, cf_cvg=13.969332578913807}","{""type"":""MultiPoint"",""coordinates"":[]}"
20200401,"{avg_rad=1.0900847829315459, cf_cvg=11.959602006850302}","{""type"":""MultiPoint"",""coordinates"":[]}"
20200501,"{avg_rad=0.9786508570411157, cf_cvg=9.567222234523582}","{""type"":""MultiPoint"",""coordinates"":[]}"
20200601,"{avg_rad=0.9423433082473178, cf_cvg=5.29494088081916}","{""type"":""MultiPoint"",""coordinates"":[]}"
20200701,"{avg_rad=0.8933417034672515, cf_cvg=3.6324431998647726}","{""type"":""MultiPoint"",""coordinates"":[]}"
20200801,"{avg_rad=0.8383511119608348, cf_cvg=4.245961218484859}","{""type"":""MultiPoint"",""coordinates"":[]}"
20200901,"{avg_rad=0.8583234616811845, cf_cvg=4.270626329077532}","{""type"":""MultiPoint"",""coordinates"":[]}"
20201001,"{avg_rad=0.9547562733636501, cf_cvg=9.447460126958477}","{""type"":""MultiPoint"",""coordinates"":[]}"
20201101,"{avg_rad=1.1932011850322526, cf_cvg=12.408579297171551}","{""type"":""MultiPoint"",""coordinates"":[]}"
20201201,"{avg_rad=1.0886705819209208, cf_cvg=13.509542385686931}","{""type"":""MultiPoint"",""coordinates"":[]}"
20210101,"{avg_rad=1.0768120697562085, cf_cvg=13.60505494205345}","{""type"":""MultiPoint"",""coordinates"":[]}"
20210201,"{avg_rad=1.1570324979359785, cf_cvg=14.637384314890756}","{""type"":""MultiPoint"",""coordinates"":[]}"
20210301,"{avg_rad=1.151403086900224, cf_cvg=13.645981067836958}","{""type"":""MultiPoint"",""coordinates"":[]}"
20210401,"{avg_rad=1.189606428446422, cf_cvg=12.081728747111494}","{""type"":""MultiPoint"",""coordinates"":[]}"
20210501,"{avg_rad=1.074941693180418, cf_cvg=8.664867602771679}","{""type"":""MultiPoint"",""coordinates"":[]}"
20210601,"{avg_rad=1.0100651311493998, cf_cvg=5.908918862894147}","{""type"":""MultiPoint"",""coordinates"":[]}"
20210701,"{avg_rad=0.9455890857918923, cf_cvg=3.928047079606538}","{""type"":""MultiPoint"",""coordinates"":[]}"
20210801,"{avg_rad=1.002599218210228, cf_cvg=4.430318475787683}","{""type"":""MultiPoint"",""coordinates"":[]}"
20210901,"{avg_rad=0.9119585583326509, cf_cvg=4.556598983175711}","{""type"":""MultiPoint"",""coordinates"":[]}"
20211001,"{avg_rad=1.0678114979564708, cf_cvg=11.377191001181155}","{""type"":""MultiPoint"",""coordinates"":[]}"
20211101,"{avg_rad=1.195587102474851, cf_cvg=11.556362064052172}","{""type"":""MultiPoint"",""coordinates"":[]}"
20211201,"{avg_rad=1.1136411224148413, cf_cvg=13.671930870161013}","{""type"":""MultiPoint"",""coordinates"":[]}"
20220101,"{avg_rad=1.1134453836432132, cf_cvg=14.398646799846293}","{""type"":""MultiPoint"",""coordinates"":[]}"
20220201,"{avg_rad=1.206400055726816, cf_cvg=12.382743089059533}","{""type"":""MultiPoint"",""coordinates"":[]}"
20220301,"{avg_rad=1.2845351767838116, cf_cvg=16.081742666651902}","{""type"":""MultiPoint"",""coordinates"":[]}"
20220401,"{avg_rad=1.2251168663188652, cf_cvg=13.772174647193753}","{""type"":""MultiPoint"",""coordinates"":[]}"
20220501,"{avg_rad=1.2198584002498993, cf_cvg=12.573252358567046}","{""type"":""MultiPoint"",""coordinates"":[]}"
20220601,"{avg_rad=1.1513099154166655, cf_cvg=6.280903058654841}","{""type"":""MultiPoint"",""coordinates"":[]}"
